,TS,start_anomaly,window length,prob_anomaly,lat,lon,anomaly sample length
22,"date
2015-09-21   -0.506701
2015-10-15   -0.032742
2016-04-12   -0.016332
2016-07-05    0.200102
2016-09-27   -0.238541
                ...   
2023-07-29    0.041624
2023-08-10   -0.057948
2023-08-22   -2.259729
2023-09-03   -0.262037
2023-09-15   -0.912905
Name: values_750_3522, Length: 193, dtype: float32",0,0.0,0.0,25.928463,-80.31106,
23,"date
2015-09-21   -0.946390
2015-10-15   -1.005801
2016-04-12   -1.066222
2016-07-05   -0.724193
2016-09-27    1.191107
                ...   
2023-07-29   -0.134483
2023-08-10    0.646022
2023-08-22   -0.346053
2023-09-03   -0.011456
2023-09-15    0.387109
Name: values_750_3523, Length: 193, dtype: float32",0,0.0,0.0,25.928469,-80.31103,
24,"date
2015-09-21   -0.482440
2015-10-15    0.163713
2016-04-12    0.068959
2016-07-05    0.355525
2016-09-27   -0.441321
                ...   
2023-07-29   -0.055835
2023-08-10    0.324594
2023-08-22   -2.224459
2023-09-03   -0.029709
2023-09-15   -0.609138
Name: values_750_3524, Length: 193, dtype: float32",0,0.0,0.0,25.928473,-80.31099,
25,"date
2015-09-21   -0.451385
2015-10-15    0.040023
2016-04-12    0.006800
2016-07-05    0.230798
2016-09-27   -0.198675
                ...   
2023-07-29    0.056060
2023-08-10    0.100891
2023-08-22   -2.198345
2023-09-03   -0.198837
2023-09-15   -0.963823
Name: values_750_3525, Length: 193, dtype: float32",0,0.0,0.0,25.928478,-80.31096,
26,"date
2015-09-21   -0.423100
2015-10-15    0.093842
2016-04-12    0.130829
2016-07-05    0.354522
2016-09-27   -0.205724
                ...   
2023-07-29   -0.207993
2023-08-10    0.784700
2023-08-22   -2.335838
2023-09-03   -0.003935
2023-09-15   -0.790942
Name: values_750_3526, Length: 193, dtype: float32",0,0.0,0.0,25.928484,-80.31092,
27,"date
2015-09-21   -0.619725
2015-10-15    0.006253
2016-04-12    0.173983
2016-07-05    0.312619
2016-09-27   -0.644286
                ...   
2023-07-29   -0.138059
2023-08-10    0.994357
2023-08-22   -1.452827
2023-09-03    0.283343
2023-09-15    0.106660
Name: values_750_3527, Length: 193, dtype: float32",0,0.0,0.0,25.92849,-80.31089,
28,"date
2015-09-21   -0.156175
2015-10-15    0.065065
2016-04-12    0.073490
2016-07-05    0.651833
2016-09-27    0.893060
                ...   
2023-07-29   -0.021500
2023-08-10    2.118509
2023-08-22   -1.679995
2023-09-03    0.280607
2023-09-15   -0.497386
Name: values_750_3528, Length: 193, dtype: float32",0,0.0,0.0,25.928495,-80.31086,
29,"date
2015-09-21   -0.314154
2015-10-15   -0.000913
2016-04-12    0.035272
2016-07-05    0.369870
2016-09-27   -0.620001
                ...   
2023-07-29   -0.177299
2023-08-10    2.149493
2023-08-22   -1.389463
2023-09-03    0.195860
2023-09-15   -0.710407
Name: values_750_3529, Length: 193, dtype: float32",0,0.0,0.0,25.928501,-80.31082,
30,"date
2015-09-21   -0.551892
2015-10-15    0.171915
2016-04-12    0.210984
2016-07-05   -0.366220
2016-09-27   -0.660911
                ...   
2023-07-29    0.156079
2023-08-10   -0.910538
2023-08-22    0.963135
2023-09-03   -0.177001
2023-09-15   -1.477417
Name: values_751_3500, Length: 193, dtype: float32",0,0.0,0.0,25.928463,-80.311844,
31,"date
2015-09-21   -0.360227
2015-10-15    0.050312
2016-04-12    0.261248
2016-07-05   -0.264024
2016-09-27   -0.815837
                ...   
2023-07-29    0.628013
2023-08-10   -1.126588
2023-08-22    0.654762
2023-09-03    0.272465
2023-09-15    2.043235
Name: values_751_3501, Length: 193, dtype: float32",0,0.0,0.0,25.928469,-80.311806,
32,"date
2015-09-21   -0.326479
2015-10-15    0.298259
2016-04-12   -0.054571
2016-07-05   -0.081125
2016-09-27   -0.770660
                ...   
2023-07-29    0.734196
2023-08-10   -0.927776
2023-08-22    0.872702
2023-09-03    1.034101
2023-09-15    0.976796
Name: values_751_3502, Length: 193, dtype: float32",0,0.0,0.0,25.928474,-80.311775,
33,"date
2015-09-21   -0.417569
2015-10-15    0.334070
2016-04-12    0.134430
2016-07-05   -0.155565
2016-09-27   -0.609352
                ...   
2023-07-29    0.205624
2023-08-10   -0.639717
2023-08-22    0.750582
2023-09-03   -0.191541
2023-09-15    2.679302
Name: values_751_3503, Length: 193, dtype: float32",0,0.0,0.0,25.92848,-80.31174,
34,"date
2015-09-21   -0.589082
2015-10-15    0.248000
2016-04-12   -0.421536
2016-07-05    0.209028
2016-09-27   -0.861144
                ...   
2023-07-29    0.717740
2023-08-10    0.203859
2023-08-22    1.199023
2023-09-03    0.741850
2023-09-15    1.129315
Name: values_751_3504, Length: 193, dtype: float32",0,0.0,0.0,25.928486,-80.3117,
35,"date
2015-09-21   -0.170528
2015-10-15    0.237036
2016-04-12   -0.335229
2016-07-05   -0.117067
2016-09-27   -1.091254
                ...   
2023-07-29    0.539838
2023-08-10    0.227698
2023-08-22    1.022233
2023-09-03    0.637665
2023-09-15    1.229817
Name: values_751_3505, Length: 193, dtype: float32",0,0.0,0.0,25.928492,-80.31167,
36,"date
2015-09-21    0.388305
2015-10-15   -0.547225
2016-04-12    0.594739
2016-07-05    0.212372
2016-09-27   -0.323871
                ...   
2023-07-29    0.865210
2023-08-10   -0.555529
2023-08-22    0.156039
2023-09-03    1.598559
2023-09-15    1.682505
Name: values_751_3506, Length: 193, dtype: float32",0,0.0,0.0,25.928497,-80.31163,
